title,id,category,transcript
What is computer science?,-xFJM3QQ3TE,CS,"Frederick: COMPUTER SCIENCE IS THE ART OF TEACHING A COMPUTER WHAT TO DO. I'LL START WITH SOMETHING SIMILAR. LIKE, A SCREWDRIVER IS A TOOL THAT IS MADE TO KIND OF TURN SCREWS, AND ON ITS OWN, IT'S USELESS. YOU HAVE TO TAKE IT IN YOUR HAND AND KIND OF TURN IT TO MAKE SOMETHING HAPPEN. Peters: A COMPUTER ACTUALLY LEARNS A SET OF INSTRUCTIONS AND ACTUALLY TRANSFORM THAT INTO A WAY OF SHOWING A MOVIE OR PLAYING AN AUDIO FILE OR DELIVERING FACEBOOK. AND THAT WHOLE STUDY OF HOW THE COMPUTER THINKS IS COMPUTER SCIENCE. Campos: IT'S CODE, AND SO CODE IS A BUNCH OF SYMBOLS AND LETTERS, BUT IT'S REALLY MORE LIKE A LANGUAGE. Bigio: I GOT HERE FROM PUERTO RICO, AND I DIDN'T KNOW ENGLISH, SO I HAD TO SPEND A LOT OF TIME TRYING TO PERFECT MY ENGLISH. PROGRAMMERS DO THE SAME THING. THEY LEARN NEW LANGUAGES TO DO NEW THINGS. THEY ARE INPUTTING THIS LANGUAGE AND THIS INSTRUCTION INTO THE COMPUTER SO THE COMPUTER CAN DO WHAT THEY WANT THEM TO DO. ♪♪ Frederick: GROWING UP, I WAS ONE OF THE VERY FEW PEOPLE WHO HAD ACCESS TO A COMPUTER AROUND ME. AND I REMEMBER BEING BORED ONE DAY AND I PICKED UP THIS BOOK THAT WAS NEAR THE COMPUTER THAT SAID ""BASIC PROGRAMMING,"" AND IT HAD THIS REALLY SIMPLE ""GETTING STARTED, HELLO, WORLD"" PROGRAM THAT YOU COULD WRITE IN BASIC, AND I REMEMBER WRITING IT AND RECOGNIZING THAT, ""WAIT, HOLD ON. I JUST PUT THIS THING IN AND TOLD THIS COMPUTER HOW TO DO THAT, AND IT CAME BACK OUT."" AND I HAD MY BROTHER COME IN AND USE IT, AND HE'S LIKE, ""OH, MAN, YOU MADE THE COMPUTER SAY HELLO?"" I WAS LIKE, ""YEAH, YEAH, YEAH, I DID. ISN'T THAT COOL?"" ♪♪ Ghadiyali: IN OUR EVERYDAY LIVES, YOU SPEAK LANGUAGE AND YOU USE THAT TO COMMUNICATE AND INSTRUCT WHEN YOU'RE AROUND PEOPLE. SIMILARLY, A PROGRAMMING LANGUAGE IS EXACTLY THE SAME THING. IT'S JUST A LANGUAGE THAT YOU'D USE TO TALK TO THE COMPUTER. Frederick: AND THINK ABOUT THE FIRST THING YOU DO WHEN YOU WAKE UP IN THE MORNING. LET'S SAY IT'S AN ALARM CLOCK. THERE ARE INSTRUCTIONS THAT SOMEBODY PUT INTO THAT ALARM CLOCK TO TEACH IT HOW TO TELL TIME, HOW TO RESPOND TO YOU HITTING THE SNOOZE BUTTON. YOU'RE WALKING OUT OF THE HOUSE AND YOU JUMP IN YOUR CAR AND YOU START IT. THERE ARE LOTS OF COMPUTERS IN THERE FIGURING OUT HOW TO TURN THE ENGINE THE VERY FIRST TIME, HOW MUCH GAS TO PUT IN. THE SET OF INSTRUCTIONS THAT PEOPLE HAVE PUT INTO ALL THESE LITTLE DEVICES YOU'VE USED THROUGHOUT YOUR DAY JUST MADE YOUR DAY THAT MUCH EASIER TO GET THROUGH. Bigio: YOU WANT DIRECTIONS OR YOU'RE DIALING A PHONE NUMBER, YOU'RE ACTUALLY INTERACTING WITH A COMPUTER TO SOLVE THE PROBLEM AT HAND. THAT'S COMPUTER SCIENCE AND PROGRAMMING RIGHT THERE, EVERY DAY IN YOUR HAND. Ghadiyali: PROGRAMMING AND COMPUTER SCIENCE IS ONE OF THE BEST WAYS TO HAVE IMPACT IN THE WORLD. THERE IS NO OTHER CAREER, NO OTHER FIELD WHERE YOU CAN TOUCH SO MANY PEOPLE'S LIVES WITH JUST A SIMPLE SOFTWARE OR A SIMPLE APP. AND IT'S SPECIFICALLY ALSO IMPORTANT FOR DIVERSE COMMUNITIES TO BE INVOLVED BECAUSE OF THE FACT THAT COMPUTERS ARE EVERYWHERE, PROGRAMMING IS EVERYWHERE, AND WE WANT AN EQUAL REPRESENTATION WHEN WE ARE BUILDING PROGRAMS. Frederick: WE NEED PEOPLE WHO HAVE A BROAD RANGE OF PERSPECTIVES TO FIND DIFFERENT SOLUTIONS. Bigio: CREATING PRODUCTS FOR THE PEOPLE, YOU NEED TO BE THE PEOPLE. AND IF WE HOPE TO HAVE PRODUCTS OUT THERE THAT REALLY SERVE OUR NEEDS, WE NEED TO BE INVOLVED -- PROGRAMMING, LEARNING COMPUTER SCIENCE, AND BEING PART OF THE CREATION PROCESS OF THIS NEW WAVE OF INNOVATION."
What is Computer Science Principles?,jQm0z894CG0,CS,"It's pretty amazing when you start building something that you want it can help change a lot of people's lives as well. And having even a little bit of grounding in computer science can help you think about the world differently. Whether that's algorithms or whether thats just creativity. Computer Science Principles covers lots of topics. Not just programming and coding... we cover bits and binary, we cover how the Internet works, how security works, how data is collected and used and shared. And all of these things help you get a better understanding of how the world works. Now I understand why my phone is so slow. I thought computer science was just, like for y'know, really really smart nerds, geeks, but... it's not. It's for everybody and I think it's something that everybody should learn. In the new economy computer science isn't an optional skill, it's a basic skill. I just think it's important, moving forward in the future that everybody learn it - especially kids. I didn't know what I was getting myself in to but like once I had my friends around I knew that if they could do it I can do it. So it's really like brought my confidence up in other classes as well. If you use SnapChat and Instagram and you want to know how that works take Computer Science Principles. Make an app yourself. See how you can share these things with your friends. To be able to code gives you the freedom to build anything. And that is just so empowering! We're doing a lot of teamwork, like group work. Like doing work on paper not just always on the computer. And then when I say ""go"", we're gonna exchange IP addresses without talking. And I want everybody's IP address. Some of the kids that maybe don't fit into a normal classroom they have an opportunity to kind of try different things and different techniques and different mindsets. It feels more like a puzzle. And you get to take your own route and find the solution. I feel like this class is one of the only classes that challenges me. But I feel like ""Y'know what - I got this!"" Like, this is good. Computer science isn't just about math or computers. If you're interested in designing things, creating things, solving problems... then this class is for you. Subtitles by the Amara.org community"
Computer Science Basics: Hardware and Software,vG_qmtdBPTU,CS,"Hardware and software to terms. You've probably heard of at one point or another The odds are high that you use both on a daily basis, whether it's with your smartphone or personal computer Let's take a deeper. Look at what these two things are and why they're important hardware is any element of a computer that's physical this includes things like monitors keyboards and also the insides of devices like microchips and hard drives Software is anything that tells hardware what to do and how to do it including computer programs and apps on your phone. So video games Photo editors and web browsers are just a few examples Hardware and software are very different from each other, but they also need one another in order to function Let's look at an example of this using a smart phone in this case The hardware would be the physical phone itself and the software would be its operating system and its apps If we were to take away the software we would just have a dead phone in our hands it wouldn't be able to make calls Text or go online because it's not receiving any kind of instructions on the other hand Let's say we have no hardware. Meaning there's no actual phone if all we have are the programs We just have a bunch of instructions, but nothing to give those instructions to So the big picture here is that hardware needs software to tell it what to do But software also needs Hardware in order to act out its directions Technology will continue to evolve and though we may not be sure of how things will look in say a hundred years this Combination of hardware and software will be there serving as its foundation GCF global creating opportunities for a better life"
Steve Jobs on Computer Science,IY7EsTnUSxY,CS,"I think everybody in this country should learn how to program a computer. Should learn a computer language, because it teaches you how to think. And so I view computer science as a liberal art. It should be something that everybody learns, you know takes takes a year in their life, one the courses they take is you know, learning how to program."
Computer Science Basics: Algorithms,kM9ASKAni_s,CS,"You may have heard the term Algorithm recently, whether it was online or maybe in some conversation about technology. It's a word that gets thrown around a lot. But what exactly does it mean? Well, simply put an algorithm is a set of steps used to complete a specific task. They're the building blocks for programming and they allow things like computers, smartphones, and websites to function and make decisions. But in addition to being used by technology, a lot of things we do on a daily basis are also similar to algorithms Let's say you want to make some spaghetti. In order to do this successfully,  there's a certain set of steps you need to follow in a particular order. First you need to boil a pot of water. Once it's boiling you then add the spaghetti and cook it for a set amount of time, stirring occasionally. Once it's finished you drain the water and then it's ready to be served with a sauce of your choice. That entire process is actually an algorithm. Because you followed those steps in that order, you reached your desired outcome, a delicious pasta dish. But, if you were to make a mistake, say over or under cooking your noodles, it probably wouldn't be as good. Programs work in a similar way. Their code is made up of algorithms telling them what to do. Let's say that we want to use a navigation app to get directions. When we punch in a destination, the app uses an algorithm to look at the various available routes. Next, it uses a different algorithm to check the current traffic. And then a third one takes that information and calculates the best available route. All of these algorithms are built right into the apps code. If there were any kind of error in that code, the app wouldn't be able to follow these algorithms correctly. Meaning, you wouldn't receive your directions. Both of these examples show how both humans and computers can use algorithms to perform everyday tasks. The difference is that computers can use algorithms and calculate things better, faster, and more efficiently than we can. Technology is only going to continue to evolve and get even better at what it does. As long as coding and programming continue to be used, algorithms will be at the heart of these technologies guiding what they do and how they do it. GCF global creating opportunities for a better life."
President Obama asks America to learn computer science,6XvmhE1J9PY,CS,"Hi everybody. This week I'm proud to join the students, teachers, businesses and non-profit organizations taking big new steps to support computer science in America's schools. Learning these skills isn't just important for your future, it's important for our country's future. If we want America to stay on the cutting edge, we need young Americans, like you, to master the tools and technology that will change the way we do just about everything. That's why I'm asking you to get involved. Don't just buy a new video game, make one. Don't just download the latest app, help design it. Don't just play on your phone, program it. No one's born a computer scientist, but with a little hard work, and some math and science, just about anyone can become one. This week is your chance to give it a shot. And don't let anyone tell you ""you can't."" Whether you're a young man or a young woman, whether you live in a city or a rural area, computers are going to be a big part of your future. And if you're willing to work and study hard, that future is yours to shape. Thanks everybody!"
Why I chose my major: Computer Science &amp; Engineering,UKA3HMz2Qf0,CS,"I chose computer science because, at first, I just really liked coding and I thought, 'Wow, this is a lot of fun.' But then I also saw how many different applications there are. You know you go in thinking, 'I'm just going to sit at a desk and code. But then you realize there's so many different applications of this field that can really help people, whether that's artificial intelligence or biomedical devices. There's just so many diverse ways to be creative. So what I love about computer science is that it really starts out at the general level and so you get an idea of all the different components that go into computer science. And then once you get into the upper division, you get to choose a track and find what really speaks to you and makes you excited to do work. And, so for me, that's been the security track—where I'm really excited about all the classes. I get to learn about how the computer systems work and how they're built to make them more secure. And I'm really excited to keep learning more about that as I go on. I know a lot of my friends are doing research, and I've done two internships now. It was two years at the same company and then this summer, I'll be doing another one. And it's really great because here there's so many software companies just everywhere—that you can really get your footing even as a sophomore and get that opportunity to learn outside of the classroom. At first I was a little intimidated by the professors. I was like, 'Oh you're doing all this stuff, you don't really have time to talk to students.' But then you go to their office hours and you realize, 'Oh you really do care about the material you're teaching and the students you're teaching it to.' And I think a lot of them really show that by taking the time to have conversations about the topics that they're teaching— not just what's on the homework. But also how is this going to play out in the real world and how will I face this in my career. And I really appreciate the time they take to do that."
Careers with Computer Science: Aerospace Engineer at NASA,2uXTNK9W-gQ,CS,foreign Davis and I'm an aerospace engineer at NASA what's NASA and liftoff NASA is a space agency that is looking to help the world better understand what's going on around us and other planets [Music] what do you do at NASA I use computers every day I program spacecrafts to look at specific points on a planet to get back science data [Music] what do the spacecrafts do various missions that we have they have different objectives whether it's increasing the knowledge on the weather to things like increasing knowledge about asteroids when did you learn about computer science I knew about computers growing up we had you know computer class but I wasn't that into computers and maybe it was because I thought that wasn't like the cool thing to do but it wasn't until later that I started to understand what possibilities come with computers and then I started saying this is actually kind of fun after I took a class in programming now it's something that I do almost on a daily basis something that I thought I couldn't do I'm doing every day and it's a lot of fun what is the coolest thing about your job the single coolest thing to me about working at Nasa is the fact that I can look into the sky at night and think about all the spacecrafts that I've worked on that are currently orbiting the Earth or orbiting an asteroid is really rewarding and so that's really cool to me [Music]
The Beauty of Computer Science | Computer Science Motivational Video,mCJWiR3Vdi8,CS,"This is such a strange thing. Your software Linux is in millions of computers  it probably powers much of the Internet.  And I think that there are like a billion  and a half active android devices out there   your software is in every single one of them. It's kind of amazing. You you must have some amazing  software headquarters driving all this. That's what I thought and I was  shocked when I saw a picture of it. I mean this is this is the Linux World Headquarters. Well I do code for fun. But I want to code for something meaningful. So, every single project I've ever  done has been something I needed and uh So, really both both Linux and Git kind of arose almost as an unintended consequence of your desire not to have  to work with too many people.  Absolutely! Yes now yeah That's that's amazing. I think everybody in this country  should learn how to program a computer.   Should learn a computer language because it teaches you how to think. It's the idea that matters. It didn't matter where you come  from or what your background is One revolutionary idea One brilliant invention can unleash other entrepreneurs to revolutionize industries in  ways you could never predict. People working anywhere in the world. Born anywhere in the world. Can create a product and make it available to anyone in the world. The most used messaging app in Southeast Asia   was built by a young man born  in Ukraine who moved to the U.S. And the three most popular viral  games in the U.S in recent years came from entrepreneurs in Finland Ireland and Vietnam You're the ones building the next Google The next Spotify The next Tesla The next... Well we don't even know. But what I know is that someone  in this room will build it. Computer science is by far  the closest thing to magic. And it's certain that the world wouldn't be where it is right now without the existence  of this magnificent branch of science. And this branch of science is growing so fast that it's difficult for even good  programmers to keep up with it. Every day a new technology is releasing. Every day new opportunities are rising. "
Computer Science Basics: Should I Learn to Code?,reU05DbfWOM,CS,"In recent years, there's been a lot of hype around coding: that it's an invaluable skill everyone should learn, or that it's a field where there's a lot of money to be made. And, while there are a lot of great reasons to learn to code, it might not be the best career choice for everyone. In order to determine if coding is a good fit for you, you'll want to consider a number of different aspects. One thing to think about is the job market: there are a lot of jobs and freelance opportunities out there for programmers, and many of them pay well, but there are also even more programmers seeking jobs. Studies showed that there are 50% more people seeking employment than there are actual coding positions. This means that simply knowing how to code isn't a surefire way to land a job: employers are looking for the highest quality programmers out there. Like any skill, coding takes dedication and patience to develop: the more time you put into it, the better you'll become. Learning your first coding language might prove to be a long and difficult process, but the good news is that once you've learned one, others become easier to grasp. As technology continues to evolve some new jobs are going to be created, but some of today's jobs will also become obsolete. Some argue that it might be a better investment to study growing fields, like AI and machine learning; but, on the other hand, learning to code is a great way to gain an understanding of software from the bottom up, and it can serve as a jumping off point if you want to move into those fields in the future. So, should you learn to code? There are a lot of opinions out there, but ultimately it's up to you. If it seems like something you really enjoy and you're willing to put in the effort, go for it, but if it's something you're on the fence about, you might want to keep looking. There are a lot of other options out there, and you're bound to find something that's a better fit for you."
